protein_id,viral_family
sp|P28282|UL56_HHV2H,Herpesviridae
sp|P28283|ICP34_HHV2H,Herpesviridae
sp|P28284|ICP0_HHV2H,Herpesviridae
sp|P68336|VP16_HHV2H,Herpesviridae
sp|P68340|SHUT_HHV2H,Herpesviridae
sp|P69521|RIR2_HHV2H,Herpesviridae
sp|P89432|OBP_HHV2H,Herpesviridae
sp|P89433|GM_HHV2H,Herpesviridae
sp|P89446|KITH_HHV2H,Herpesviridae
sp|P89453|DPOL_HHV2H,Herpesviridae
sp|P89454|NEC1_HHV2H,Herpesviridae
sp|P89457|NEC2_HHV2H,Herpesviridae
sp|P89466|TEG1_HHV2H,Herpesviridae
sp|P89467|TEG5_HHV2H,Herpesviridae
sp|P89471|PRIM_HHV2H,Herpesviridae
sp|P89474|ICP22_HHV2H,Herpesviridae
sp|P89479|RNB_HHV2H,Herpesviridae
sp|Q69467|GD_HHV2H,Herpesviridae
sp|Q86539|GN_HHV2H,Herpesviridae
sp|P28275|UNG_HHV2H,Herpesviridae
sp|P28277|HELI_HHV2H,Herpesviridae
sp|P89429|PORTL_HHV2H,Herpesviridae
sp|P89430|CEP1_HHV2H,Herpesviridae
sp|P89431|HEPA_HHV2H,Herpesviridae
sp|P89437|TEG3_HHV2H,Herpesviridae
sp|P89438|TRM3_HHV2H,Herpesviridae
sp|P89439|CEP2_HHV2H,Herpesviridae
sp|P89440|CVC1_HHV2H,Herpesviridae
sp|P89441|TRX2_HHV2H,Herpesviridae
sp|P89442|MCP_HHV2H,Herpesviridae
sp|P89443|UL20_HHV2H,Herpesviridae
sp|P89444|TEG4_HHV2H,Herpesviridae
sp|P89447|UL24_HHV2H,Herpesviridae
sp|P89448|CVC2_HHV2H,Herpesviridae
sp|P89451|TRM1_HHV2H,Herpesviridae
sp|P89452|DNBI_HHV2H,Herpesviridae
sp|P89455|UL32_HHV2H,Herpesviridae
sp|P89456|TRM2_HHV2H,Herpesviridae
sp|P89458|SCP_HHV2H,Herpesviridae
sp|P89460|ITP_HHV2H,Herpesviridae
sp|P89461|TRX1_HHV2H,Herpesviridae
sp|P89463|PAP_HHV2H,Herpesviridae
sp|P89464|MB43_HHV2H,Herpesviridae
sp|P89465|EV45_HHV2H,Herpesviridae
sp|P89468|VP22_HHV2H,Herpesviridae
sp|P89469|DUT_HHV2H,Herpesviridae
sp|P89470|TEG7_HHV2H,Herpesviridae
sp|P89478|US10_HHV2H,Herpesviridae
sp|P28279|NP03_HHV2H,Herpesviridae
sp|P28280|NP04_HHV2H,Herpesviridae
sp|P28281|TEG6_HHV2H,Herpesviridae
sp|P89476|US8A_HHV2H,Herpesviridae
sp|F5HB81|GB_HHV8P,Herpesviridae
sp|F5HCV3|ORF50_HHV8P,Herpesviridae
sp|F5HDE4|ORF45_HHV8P,Herpesviridae
sp|F5HF68|VIRF1_HHV8P,Herpesviridae
sp|P90489|MIR2_HHV8P,Herpesviridae
sp|P90495|MIR1_HHV8P,Herpesviridae
sp|Q2HR75|MTA_HHV8P,Herpesviridae
sp|Q2HR80|ORF52_HHV8P,Herpesviridae
sp|Q2HRB6|SCAF_HHV8P,Herpesviridae
sp|F5HAK9|GH_HHV8P,Herpesviridae
sp|F5HDD0|GM_HHV8P,Herpesviridae
sp|F5HF47|UL32_HHV8P,Herpesviridae
sp|F5HFQ0|GN_HHV8P,Herpesviridae
sp|F5HGH5|VPK_HHV8P,Herpesviridae
sp|F5HGJ3|ARBH_HHV8P,Herpesviridae
sp|P0C788|OX2V_HHV8P,Herpesviridae
sp|Q2HR64|LTP_HHV8P,Herpesviridae
sp|Q2HR71|VIRF2_HHV8P,Herpesviridae
sp|Q2HR82|KBZIP_HHV8P,Herpesviridae
sp|Q2HR95|AN_HHV8P,Herpesviridae
sp|Q98146|VGPCR_HHV8P,Herpesviridae
sp|Q98157|VMI2_HHV8P,Herpesviridae
sp|Q9QR71|LANA1_HHV8P,Herpesviridae
sp|F5H982|NEC1_HHV8P,Herpesviridae
